author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307151489/,Москва,sale,flat,4,5,3,98.5,-1,0,46000000.0,Тверской,2-й Волконский переулок,12,Цветной бульвар,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/304817322/,Москва,sale,flat,3,21,3,92.2,-1,0,98285200.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
TOUCH,developer,https://www.cian.ru/sale/flat/302838481/,Москва,sale,flat,6,13,2,60.31,-1,0,36928000.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ID 103466348,real_estate_agent,https://www.cian.ru/sale/flat/306904962/,Москва,sale,flat,7,12,3,60.0,-1,0,12600000.0,,,5.1.4,Прокшино,Прокшино ЖК
Среда,developer,https://www.cian.ru/sale/flat/303626038/,Москва,sale,flat,3,27,2,55.3,-1,0,19419590.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307505747/,Москва,sale,flat,10,12,1,55.0,-1,0,32500000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,-1,0,22824675.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
ID 109253337,homeowner,https://www.cian.ru/sale/flat/307125081/,Москва,sale,flat,21,51,4,133.3,-1,0,73000000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
COLDY,developer,https://www.cian.ru/sale/flat/304471784/,Москва,sale,flat,10,15,2,53.7,-1,0,50370600.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
Лидия Ортнер,realtor,https://www.cian.ru/sale/flat/295022763/,Москва,sale,flat,7,15,1,43.7,-1,0,10300000.0,, Кварцевая,2к3,Прокшино,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040427/,Москва,sale,flat,4,6,1,51.2,-1,0,57190400.0,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,-1,0,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Sminex,developer,https://www.cian.ru/sale/flat/307223625/,Москва,sale,flat,9,14,2,66.9,-1,0,41010000.0,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/306203300/,Москва,sale,flat,6,23,4,146.5,-1,0,55299000.0,Кунцево, Екатерины Будановой,5,Рабочий посёлок,Катрин-Хаус
